,Mnemonic,bitpat,FORMAT,FORMAT_OLD,SRC1,SRC2,SRC3,SRC4,SRC5,DEST1,DEST2,DEST3,DEST4,DEST5,Special Behavior,"Context 
Synchronizing?",BOOK,PAGE,Versions,Priveledge,Mode Dep,Name,Unsure,"Doable but
Laborious",MicroWatt Support,PythonWatt Support,MicroPython
0,fmadd[.],111111 ..... ..... ..... ..... 11101.,A4,A,,FPR,FPR,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,157,P1,,,Floating Multiply-Add,,,,,
1,fmadds[.],111011 ..... ..... ..... ..... 11101.,A4,A,,FPR,FPR,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,157,PPC,,,Floating Multiply-Add Single,,,,,
2,fmsub[.],111111 ..... ..... ..... ..... 11100.,A4,A,,FPR,FPR,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,158,P1,,,Floating Multiply-Subtract,,,,,
3,fmsubs[.],111011 ..... ..... ..... ..... 11100.,A4,A,,FPR,FPR,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,158,PPC,,,Floating Multiply-Subtract Single,,,,,
4,fnmadd[.],111111 ..... ..... ..... ..... 11111.,A4,A,,FPR,FPR,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,158,P1,,,Floating Negative Multiply-Add,,,,,
5,fnmadds[.],111011 ..... ..... ..... ..... 11111.,A4,A,,FPR,FPR,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,158,PPC,,,Floating Negative Multiply-Add Single,,,,,
6,fnmsub[.],111111 ..... ..... ..... ..... 11110.,A4,A,,FPR,FPR,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,158,P1,,,Floating Negative Multiply-Subtract,,,,,Y
7,fnmsubs[.],111011 ..... ..... ..... ..... 11110.,A4,A,,FPR,FPR,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,158,PPC,,,Floating Negative Multiply-Subtract Single,,,,,
8,dadd[.],111011 ..... ..... ..... 00000 00010.,X44,X,,,FPR,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,193,v2.05,,,DFP Add,,,,,
9,dcffix[.],111011 ..... ///// ..... 11001 00010.,X36,X,,,,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,215,v2.06,,,DFP Convert From Fixed,,,,,
10,dctdp[.],111011 ..... ///// ..... 01000 00010.,X36,X,,,,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,213,v2.05,,,DFP Convert To DFP Long,,,,,
11,dctfix[.],111011 ..... ///// ..... 01001 00010.,X36,X,,,,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,215,v2.05,,,DFP Convert To Fixed,,,,,
12,dctfixq[.],111111 ..... ///// ..... 01001 00010.,X37,X,,,FPR,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,215,v2.05,,,DFP Convert To Fixed Quad,,,,,
13,ddiv[.],111011 ..... ..... ..... 10001 00010.,X44,X,,,FPR,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,196,v2.05,,,DFP Divide,,X,,,
14,denbcd[.],111011 ..... .//// ..... 11010 00010.,X46,X,,,,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,217,v2.05,,,DFP Encode BCD To DPD,,,,,
15,dmul[.],111011 ..... ..... ..... 00001 00010.,X44,X,,,FPR,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,195,v2.05,,,DFP Multiply,,,,,
16,dqua[.],111011 ..... ..... ..... ..000 00011.,Z23_2,Z23,,,FPR,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,204,v2.05,,,DFP Quantize,,,,,
17,dquai[.],111011 ..... ..... ..... ..010 00011.,Z23_3,Z23,,,,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,203,v2.05,,,DFP Quantize Immediate,,,,,
18,drintn[.],111011 ..... ////. ..... ..111 00011.,Z23_1,Z23,,,,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,211,v2.05,,,DFP Round To FP Integer Without Inexact,,,,,
19,drintx[.],111011 ..... ////. ..... ..011 00011.,Z23_1,Z23,,,,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,209,v2.05,,,DFP Round To FP Integer With Inexact,,,,,
20,drrnd[.],111011 ..... ..... ..... ..001 00011.,Z23_2,Z23,,,FPR,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,206,v2.05,,,DFP Reround,,,,,
21,drsp[.],111011 ..... ///// ..... 11000 00010.,X36,X,,,,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,214,v2.05,,,DFP Round To DFP Short,,,,,
22,dsub[.],111011 ..... ..... ..... 10000 00010.,X44,X,,,FPR,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,193,v2.05,,,DFP Subtract,,,,,
23,fadd[.],111111 ..... ..... ..... ///// 10101.,A3,A,,,FPR,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,152,P1,,,Floating Add,,,,,
24,fadds[.],111011 ..... ..... ..... ///// 10101.,A3,A,,,FPR,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,152,PPC,,,Floating Add Single,,,,,
25,fcfid[.],111111 ..... ///// ..... 11010 01110.,X36,X,,,,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,163,PPC,,,Floating Convert with round Signed Doubleword to Double-Precision format,,,,,
26,fcfids[.],111011 ..... ///// ..... 11010 01110.,X36,X,,,,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,164,v2.06,,,Floating Convert with round Signed Doubleword to Single-Precision format,,,,,
27,fcfidu[.],111111 ..... ///// ..... 11110 01110.,X36,X,,,,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,164,v2.06,,,Floating Convert with round Unsigned Doubleword to Double-Precision format,,,,,
28,fcfidus[.],111011 ..... ///// ..... 11110 01110.,X36,X,,,,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,165,v2.06,,,Floating Convert with round Unsigned Doubleword to Single-Precision format,,,,,
29,fctid[.],111111 ..... ///// ..... 11001 01110.,X36,X,,,,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,159,PPC,,,Floating Convert with round Double-Precision To Signed Doubleword format,,,,,
30,fctidu[.],111111 ..... ///// ..... 11101 01110.,X36,X,,,,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,160,v2.06,,,Floating Convert with round Double-Precision To Unsigned Doubleword format,,,,,
31,fctiduz[.],111111 ..... ///// ..... 11101 01111.,X36,X,,,,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,161,v2.06,,,Floating Convert with round to Zero Double-Precision To Unsigned Doubleword format,,,,,
32,fctidz[.],111111 ..... ///// ..... 11001 01111.,X36,X,,,,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,160,PPC,,,Floating Convert with round to Zero Double-Precision To Signed Doubleword format,,,,,
33,fctiw[.],111111 ..... ///// ..... 00000 01110.,X36,X,,,,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,161,P2,,,Floating Convert with round Double-Precision To Signed Word format,,,,,
